"Temp","Carryover","quant10","quant25","quant50","quant75","quant90","median","Med_per"
53,"0800",0,0,0.01,0.92,0.99,0.00564582032644821,37.7955063274516
53,"1000",0,0,0.01,0.88,0.99,0.0076864710865728,51.4564845833659
53,"1200",0,0,0,0.68,0.95,0.000519431746115261,3.47729554109441
53,"1300",0,0,0,0.64,0.95,0.000404339665563806,2.70682053353096
53,"1500",0,0,0,0.47,0.91,0.00028851866741741,1.93146584365762
53,"1600",0,0,0,0.42,0.85,5.33647024718593e-05,0.357245862127283
53,"1800",0,0,0,0.31,0.81,4.48537433305316e-05,0.30026990620254
53,"1900",0,0,0,0.28,0.76,8.83599668077834e-05,0.591518945250945
53,"2000",0,0,0,0.32,0.68,8.29385406457837e-05,0.555225628255046
53,"2100",0,0,0,0.31,0.68,0.000114199046643786,0.764496661325652
53,"2200",0,0,0,0.15,0.53,9.51092767720646e-06,0.0636701677380396
53,"2300",0,0,0,0.09,0.49,0,0
53,"2400",0,0,0,0.11,0.43,0,0
53,"2600",0,0,0,0,0.06,0,0
53,"2800",0,0,0,0,0.02,0,0
53,"3000",0,0,0,0,0,0,0
53,"3200",0,0,0,0,0,0,0
53,"3400",0,0,0,0,0,0,0
54,"0800",0,0,0.01,0.86,0.99,0.0119220873679284,25.7094119451182
54,"1000",0,0,0.01,0.76,0.99,0.00839931488439552,18.1127213511781
54,"1200",0,0,0,0.3,0.91,0.0046759574918809,10.0834789820465
54,"1300",0,0,0,0.25,0.9,0.00297766835589886,6.42119957983908
54,"1500",0,0,0,0.11,0.82,0.00347626557560775,7.49640066842277
54,"1600",0,0,0,0.04,0.7,0.00183661769171007,3.96057832530974
54,"1800",0,0,0,0.03,0.66,0.00209144419508497,4.51009950793615
54,"1900",0,0,0,0.04,0.6,0.00200701576538367,4.3280336320469
54,"2000",0,0,0,0.03,0.5,0.00223316318984529,4.81570975086581
54,"2100",0,0,0,0.03,0.49,0.00224753702817138,4.84670624664322
54,"2200",0,0,0,0.01,0.36,0.000966485771950963,2.08418040258839
54,"2300",0,0,0,0.01,0.26,0.000965739540079864,2.08257118920246
54,"2400",0,0,0,0.01,0.27,0.000748279111163689,1.61362816133908
54,"2600",0,0,0,0,0.02,0.000452570602487084,0.975946887026762
54,"2800",0,0,0,0,0.01,0.000404546770648969,0.872385787547609
54,"3000",0,0,0,0,0.01,0.000437057463243099,0.942493543239121
54,"3200",0,0,0,0,0.01,0.000326263160463361,0.703570921433894
54,"3400",0,0,0,0,0,0.000204448357886929,0.440883118216182
55,"0800",0.01,0.02,0.07,0.74,0.99,0.0698860358609163,11.4787149102467
55,"1000",0.01,0.02,0.06,0.48,0.98,0.0613330083041275,10.0738882702116
55,"1200",0.01,0.02,0.05,0.12,0.84,0.0543054181946366,8.91961327980501
55,"1300",0.01,0.02,0.04,0.13,0.79,0.0439882228706,7.22502376218468
55,"1500",0.01,0.01,0.05,0.11,0.65,0.0459396612707887,7.54554566308709
55,"1600",0.01,0.01,0.04,0.09,0.44,0.0385029764033112,6.32407724783735
55,"1800",0,0.01,0.04,0.08,0.41,0.040988482268725,6.73231922186504
55,"1900",0,0.01,0.04,0.08,0.22,0.0360807723501226,5.92623253625104
55,"2000",0,0.01,0.04,0.07,0.17,0.0396657531200667,6.51506221745949
55,"2100",0.01,0.01,0.04,0.08,0.16,0.0394773598079192,6.4841187951506
55,"2200",0,0.01,0.02,0.05,0.11,0.0220388759546646,3.61986441081521
55,"2300",0,0.01,0.02,0.05,0.1,0.0204457427034504,3.35819378978991
55,"2400",0,0.01,0.02,0.06,0.1,0.0189371905199757,3.11041552868209
55,"2600",0,0.01,0.02,0.05,0.08,0.0206603135053972,3.39343683989669
55,"2800",0,0.01,0.02,0.04,0.07,0.0167840194442272,2.75675922771956
55,"3000",0,0.01,0.01,0.03,0.05,0.0142124383479956,2.33437947891011
55,"3200",0,0.01,0.01,0.03,0.05,0.0147768579499517,2.42708486162066
55,"3400",0,0.01,0.01,0.03,0.04,0.0108084032882018,1.77526995846713
