Date,Alt 1a,Alt 1b,Alt 1c,Alt 2a,Alt 2b,Alt 2c,Alt 2d,Alt 2e,Alt 3a,Alt 3b,Alt 3c,Alt 3d,Alt 3e,Alt 3f,Alt 3g,Alt 3h,Alt 3i,Alt 3j,Alt 3k,Alt 3l,Alt 3m
2023-08-01,9500,10000,10851,9000,9000,10000,10828,10851,9000,9000,9000,10567,10851,10828,10851,10851,10851,10851,10851,10851,10851
2023-08-02,9500,10000,10781,9000,9000,10000,10812,10781,9000,9000,9000,10603,10781,10812,10781,10781,10781,10781,10781,10781,10781
2023-08-03,9500,10000,10567,9000,9000,10000,10570,10567,9000,9000,9000,10588,10567,10570,10567,10567,10567,10567,10567,10567,10567
2023-08-04,9500,10000,10603,9000,9000,10000,10588,10603,9000,9000,9000,10530,10603,10588,10603,10603,10603,10603,10603,10603,10603
2023-08-05,9500,10000,10588,9000,9000,10000,10603,10588,9000,9000,9000,10497,10588,10603,10588,10588,10588,10588,10588,10588,10588
2023-08-06,9500,10000,10530,9000,9000,10000,10526,10530,9000,9000,9000,10450,10530,10526,10530,10530,10530,10530,10530,10530,10530
2023-08-07,9500,10000,10497,9000,9000,10000,10503,10497,9000,9000,9000,10492,10497,10503,10497,10497,10497,10497,10497,10497,10497
2023-08-08,9500,10000,10450,9000,9000,10000,10449,10450,9000,9000,9000,10284,10450,10449,10450,10450,10450,10450,10450,10450,10450
2023-08-09,9500,10000,10492,9000,9000,10000,10490,10492,9000,9000,9000,10242,10492,10490,10492,10492,10492,10492,10492,10492,10492
2023-08-10,9500,10000,10284,9000,9000,10000,10286,10284,9000,9000,9000,10243,10284,10286,10284,10284,10284,10284,10284,10284,10284
2023-08-11,9500,10000,10242,9000,9000,10000,10253,10242,9000,9000,9000,10241,10242,10253,10242,10242,10242,10242,10242,10242,10242
2023-08-12,9500,10000,10243,9000,9000,10000,10242,10243,9000,9000,9000,10240,10243,10242,10243,10243,10243,10243,10243,10243,10243
2023-08-13,9500,10000,10241,9000,9000,10000,10242,10241,9000,9000,9000,10236,10241,10242,10241,10241,10241,10241,10241,10241,10241
2023-08-14,9500,10000,10240,9000,9000,10000,10240,10240,9000,9000,9000,10054,10240,10240,10240,10240,10240,10240,10240,10240,10240
2023-08-15,9500,10000,10236,9000,9000,10000,10234,10236,9000,9000,9000,10000,10236,10234,10236,10236,10236,10236,10236,10236,10236
2023-08-16,9500,10000,10054,9000,9000,10000,10059,10054,9000,9000,9000,10000,10054,10059,10054,10054,10054,10054,10054,10054,10054
2023-08-17,9500,10000,10012,9000,9000,10000,10019,10012,9000,9000,9000,9750,10000,10019,10000,10000,10000,10000,10012,10012,10012
2023-08-18,9500,10000,9944,9000,9000,10000,9947,9944,9000,9000,9000,9750,10000,9947,10000,10000,10000,10000,9944,9944,9944
2023-08-19,9500,10000,9563,9000,9000,10000,9574,9563,9000,9000,9000,9750,9750,9574,9750,9750,9750,9750,9563,9563,9563
2023-08-20,9500,10000,9644,9000,9000,10000,9645,9644,9000,9000,9000,9750,9750,9645,9750,9750,9750,9750,9644,9644,9644
2023-08-21,9500,10000,9613,9000,9000,10000,9615,9613,9000,9000,9000,9750,9750,9615,9750,9750,9750,9750,9613,9613,9613
2023-08-22,9500,10000,9253,9000,8800,10000,9268,9253,8800,8800,8800,9250,9750,9268,9750,9750,9750,9750,9253,9253,9253
2023-08-23,9500,10000,9111,9000,8600,10000,9114,9111,8600,8600,8600,9250,9750,9114,9250,9250,9250,9250,9111,9111,9111
