"Year","Temp","Carryover","TDM"
1922,53,"0800",0.642848026519582
1923,53,"0800",0.94276744301925
1924,53,"0800",0.999615291457704
1925,53,"0800",0
1926,53,"0800",0.952231146623339
1927,53,"0800",0
1928,53,"0800",0.596419862540728
1929,53,"0800",0.99767396830521
1930,53,"0800",0.24621388636784
1931,53,"0800",0.999788553098456
1932,53,"0800",0.647858771514601
1933,53,"0800",0.993026596689859
1934,53,"0800",0.986895590380769
1935,53,"0800",0
1936,53,"0800",0
1937,53,"0800",0.719271585581447
1938,53,"0800",0
1939,53,"0800",0.998540669606791
1940,53,"0800",0.145006223998129
1941,53,"0800",0
1942,53,"0800",0
1943,53,"0800",1.0095334092208e-05
1944,53,"0800",0.957525295677731
1945,53,"0800",0.00279239326118925
1946,53,"0800",0.000229935642550092
1947,53,"0800",0.969769591493884
1948,53,"0800",0.000298515791646044
1949,53,"0800",0.383227678130734
1950,53,"0800",0.719094506200176
1951,53,"0800",4.20557180946858e-05
1952,53,"0800",0
1953,53,"0800",2.0389986246052e-05
1954,53,"0800",0
1955,53,"0800",0.74090500684995
1956,53,"0800",0
1957,53,"0800",0.000401192697018331
1958,53,"0800",4.45116196965618e-05
1959,53,"0800",0.91560714176966
1960,53,"0800",0.783856629676574
1961,53,"0800",0.0968816535496597
1962,53,"0800",0.00100942220014384
1963,53,"0800",1.24402062709051e-05
1964,53,"0800",0.920116873599339
1965,53,"0800",0
1966,53,"0800",0.0266916856347143
1967,53,"0800",0
1968,53,"0800",0.225522420613265
1969,53,"0800",7.19512273596868e-06
1970,53,"0800",0
1971,53,"0800",0
1972,53,"0800",0.0861738438294395
1973,53,"0800",0
1974,53,"0800",0
1975,53,"0800",0
1976,53,"0800",0.993691678254825
1977,53,"0800",0.999567073138003
1978,53,"0800",5.87483574070181e-06
1979,53,"0800",0.852301039235856
1980,53,"0800",0
1981,53,"0800",0.860237849178663
1982,53,"0800",0.00351742456300773
1983,53,"0800",0
1984,53,"0800",0
1985,53,"0800",0.920378416994349
1986,53,"0800",0.000349403200787741
1987,53,"0800",0.978403224531356
1988,53,"0800",0.975370627201735
1989,53,"0800",0.660376386422285
1990,53,"0800",0.998295321607003
1991,53,"0800",0.995922117922343
1992,53,"0800",0.991898112779523
1993,53,"0800",8.53247389876423e-07
1994,53,"0800",0.99663791802241
1995,53,"0800",0
1996,53,"0800",0
1997,53,"0800",0.00289706633861541
1998,53,"0800",0.00564582032644821
1999,53,"0800",0
2000,53,"0800",0.0333081683816066
2001,53,"0800",0.972138361693698
2002,53,"0800",0
1922,54,"0800",0.259919511469539
1923,54,"0800",0.900166566080691
1924,54,"0800",0.999439657960072
1925,54,"0800",0.000294758894517706
1926,54,"0800",0.905427390127307
1927,54,"0800",2.82121703798851e-05
1928,54,"0800",0.35413939337036
1929,54,"0800",0.997092651559136
1930,54,"0800",0.0275681864556955
1931,54,"0800",0.999725424708789
1932,54,"0800",0.2645796677217
1933,54,"0800",0.99079940065623
1934,54,"0800",0.981066249301232
1935,54,"0800",0.000820865715307386
1936,54,"0800",0.0013281335911543
1937,54,"0800",0.497576555823444
1938,54,"0800",0.000601529323189263
1939,54,"0800",0.998025672854952
1940,54,"0800",0.00301197115657733
1941,54,"0800",3.54882387558569e-07
1942,54,"0800",0.00109893741054612
1943,54,"0800",0.000588357469283496
1944,54,"0800",0.932348084482262
1945,54,"0800",0.0052060150347892
1946,54,"0800",0.00277072717736058
1947,54,"0800",0.940062878084719
1948,54,"0800",0.016731665356386
1949,54,"0800",0.0593464539638033
1950,54,"0800",0.336359793813622
1951,54,"0800",0.000682066868245783
1952,54,"0800",0.00146456197674558
1953,54,"0800",0.000810693890435113
1954,54,"0800",8.00893555869995e-06
1955,54,"0800",0.43927417519714
1956,54,"0800",0.00101831358011517
1957,54,"0800",0.0122361862369184
1958,54,"0800",0.000806528394651727
1959,54,"0800",0.834568712984059
1960,54,"0800",0.512876178324292
1961,54,"0800",0.0119220873679284
1962,54,"0800",0.0203237515944958
1963,54,"0800",0.00022046388710144
1964,54,"0800",0.86561282618631
